epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9744,0.96435,2.68213,1.35114,0.00423,0.97059,0.06382,0.04751,0.42999,3.0181,1.01128,2e-05,2e-05,2e-05
2,27.7465,0.78943,2.57323,1.23281,0.00423,0.97059,0.16791,0.12428,0.41069,2.99526,0.99836,5.9406e-05,5.9406e-05,5.9406e-05
3,44.2758,0.79041,2.58211,1.33475,0.00423,0.97059,0.54203,0.44675,0.39524,2.99462,0.99194,9.802e-05,9.802e-05,9.802e-05
4,58.6021,0.66732,2.44253,1.18766,0.00423,0.97059,0.72265,0.5962,0.42441,2.99628,1.03009,0.000135842,0.000135842,0.000135842
5,71.5996,0.67195,2.39206,1.15476,0.00436,1,0.82119,0.73312,0.38348,2.97076,1.01547,0.000172872,0.000172872,0.000172872
6,84.6,0.67656,2.24373,1.22507,0.00436,1,0.83997,0.73964,0.35618,2.94876,0.98484,0.00020911,0.00020911,0.00020911
7,97.4975,0.64913,2.16396,1.14554,0.00436,1,0.85393,0.73411,0.46132,2.94303,1.01808,0.000244556,0.000244556,0.000244556
8,111.532,0.69365,2.03646,1.2063,0.00436,1,0.85606,0.70485,0.49786,2.92767,1.01323,0.00027921,0.00027921,0.00027921
9,124.088,0.7502,1.88349,1.19147,0.00436,1,0.86317,0.70286,0.48627,2.92131,1.00873,0.000313072,0.000313072,0.000313072
10,136.086,0.69561,1.83435,1.18824,0.00436,1,0.86332,0.73367,0.45111,2.88469,1.0067,0.000346142,0.000346142,0.000346142
11,149.039,0.79895,1.78783,1.26085,0.00436,1,0.86589,0.73543,0.44891,2.83843,1.00823,0.00037842,0.00037842,0.00037842
12,163.303,0.66222,1.62297,1.18516,0.00436,1,0.87001,0.72599,0.47879,2.80468,1.03739,0.000409906,0.000409906,0.000409906
13,177.062,0.65907,1.63095,1.21069,0.00436,1,0.85324,0.70268,0.46185,2.78791,1.04201,0.0004406,0.0004406,0.0004406
14,189.841,0.7222,1.58363,1.20026,0.74862,0.85294,0.82621,0.65408,0.51338,2.75145,1.07689,0.000470502,0.000470502,0.000470502
15,208.56,0.66787,1.49825,1.19903,0.88741,0.46393,0.8283,0.64246,0.56768,2.771,1.11484,0.000499612,0.000499612,0.000499612
16,231.184,0.79309,1.46515,1.18456,1,0.25287,0.83806,0.65073,0.63465,2.78763,1.16621,0.00052793,0.00052793,0.00052793
